ideal_roll_vel,init_roll_pos,left_control_once_roll,left_control_total_roll,passfilter_pres_roll_pos,passfilter_pres_roll_vel,pres_roll_pos,pres_roll_vel,right_control_once_roll,right_control_total_roll,smaple_times_count
0.000000,none,-0.029130,-0.881578,0.020825,12.380070,0.691115,-7.167902,0.000000,0.000000,30.000000
0.000000,none,-0.029287,-0.910865,0.157270,4.548173,0.194927,-16.539587,0.000000,0.000000,30.000000
0.000000,none,-0.029445,-0.940310,0.122509,-1.158696,-0.095503,-9.681012,0.000000,0.000000,30.000000
0.000000,none,-0.029603,-0.969913,-0.015965,-4.615819,-0.516427,-14.030798,0.000000,0.000000,30.000000
0.000000,none,0.018576,-0.951337,-0.204247,-6.276071,-0.680687,-5.475340,0.000000,0.000000,30.000000
0.000000,none,0.019844,-0.931492,-0.399425,-6.505917,-0.935665,-8.499243,0.000000,0.000000,30.000000
0.000000,none,0.019124,-0.912368,-0.588289,-6.295474,-1.031974,-3.210308,0.000000,0.000000,30.000000
0.000000,none,0.019351,-0.893017,-0.728738,-4.681637,-1.013777,0.606557,0.000000,0.000000,30.000000
0.000000,none,0.019577,-0.873440,-0.757803,-0.968822,-0.623570,13.006904,0.000000,0.000000,30.000000
0.000000,none,-0.042169,-0.915609,-0.536790,7.367095,0.475699,36.642288,0.000000,0.000000,30.000000
0.000000,none,-0.042169,-0.915609,-0.103176,14.453804,1.134140,21.948055,0.000000,0.000000,30.000000
0.000000,none,-0.042169,-0.915609,0.440225,18.113359,2.022344,29.606808,0.000000,0.000000,30.000000
0.000000,none,-0.042169,-0.915609,1.080303,21.335926,2.819231,26.562881,0.000000,0.000000,30.000000
0.000000,none,-0.042169,-0.915609,1.703520,20.773899,3.198161,12.630995,0.000000,0.000000,30.000000
0.000000,none,-0.042169,-0.915609,2.188216,16.156542,3.208433,0.342401,0.000000,0.000000,30.000000
0.000000,none,0.000000,0.000000,2.356573,5.611903,2.209891,-33.284737,-0.034473,-0.034473,30.000000
0.000000,none,0.000000,0.000000,2.209220,-4.911770,1.591375,-20.617191,-0.034675,-0.069148,30.000000
0.000000,none,0.000000,0.000000,1.788177,-14.034779,0.221451,-45.664139,0.017952,-0.051196,30.000000
0.000000,none,0.000000,0.000000,1.214168,-19.133617,-0.197340,-13.959678,0.041298,-0.009898,30.000000
0.000000,none,0.000000,0.000000,0.526048,-22.937325,-1.632747,-47.846920,0.058952,0.049054,30.000000
